local_name,game_1,game_2,game_3,game_4,game_5,game_6,game_7,game_8,game_9,game_10,,,,,,,,,,,,,,,,,,Other Notes,Last Update
Okizeme,SF6,GGST,UNI,MK1,GBVSR,KOFXV,Tekken,UMVC3,BBCF,Others,,,,,,,,,,,,,,,,,,,2024.0118
Victoria FGC,Tekken,SF6,GGST,GGXXACR,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0610
Basement Series,SSBM,P+,SSBU,Remix,,,,,,,,,,,,,,,,,,,,,,,,Last Saturday,2024.0118
Green Door Smash,GGST,SF6,UMvC3,GBVSR,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Le Hub,SF6,DBFZ,GBVSR,SSBM,SSBU,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Newfoundland Fighting Jam,SF6,GBVSR,Anime Etc,Retro,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The Bug's Den,SF6,GGST,P+,,,,,,,,,,,,,,,,,,,,,,,,,"May also be Tuesday, consult the discord",2024.0118
South Shore Weeklies,Tekken,MK1,SF6,GGST,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
In the Lab,GBVSR,SF6,GGST,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,2024.0209
LFGC,SF6,GBVSR,GGST,GGXrd,KOFXV,MK1,CvS2,SSF2T,VSav,Others,,,,,,,,,,,,,,,,,,,2024.0118
DKM Offside,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0727
Mortal Showdown,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Capital City Clash,GGXrd,UMvC3,MK1,GGST,SF6,Tekken,GBVSR,,,,,,,,,,,,,,,,,,,,,,2024.0118
Downtown Rumble,GGST,GBVSR,GGXrd,DBFZ,Others,,,,,,,,,,,,,,,,,,,,,,,Games list varies,2024.0118
Battle City Weeklies,GGST,GBVSR,SF6,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MCQU,SSBU,GGST,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Revenge of the 6ix,SF6,GGST,Tekken,DBFZ,UNI,MBTL,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Stun City,GBVSR,SF6,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Over Drive-Thru,SF6,GGST,GGXrd,DBFZ,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Montreal Gaming Center (MGC),SSBU,SF6,SSBM,GBVSR,GGST,Tekken,BBCF,MK1,UNI,KOFXV,,,,,,,,,,,,,,,,,,,2024.0118
Super Move Sundays,SF6,GGST,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
