local_name,game_1,game_2,game_3,game_4,game_5,game_6,game_7,game_8,game_9,game_10,,,,,,,,,,,,,,,,,,Other Notes,Last Update
Capcom Mondays,SF6,3S,UMvC3,CvS2,,,,,,,,,,,,,,,,,,,,,,,,,2024.0224
Mile High Burst,SF6,MK1,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Tri-Calamity,UNI,MBTL,BBCF,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fire and Dice,SF6,Tekken,UMvC3,GGXrd,Others,,,,,,,,,,,,,,,,,,,,,,,Tournaments will happen for SF6 & T8 is there are enough people,2024.0610
Anime Fighters Weekly,GGST,GBVSR,DBFZ,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
FGC Weekly,SF6,Tekken,MK1,,,,,,,,,,,,,,,,,,,,,,,,,Games list rotates,2024.0118
Smash Weekly,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Hall of Gaming Anime,GGST,MBTL,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Hall of Gaming FGC,SF6,MK1,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Hall of Gaming Platform,P+,Rivals,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Hall of Gaming SSBM,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Hall of Gaming SSBU,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
ESG Fight Night FGC,GBVSR,GGST,SF6,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
ESG Fight Night SSBM,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
ESG Fight Night SSBU,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
ESG Monthly FGC,MK1,GGST,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,4th Saturday,2024.0118
ESG Monthly Smash,SSBU,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,3rd Saturday,2024.0118
Defend the District,SSBM,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Southwest Florida FGC,Tekken,BBCF,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Run The Clock,SF6,GGST,DBFZ,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0220
Freeze Frame Friday,SF6,GGST,DBFZ,MK1,Tekken,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Smash the Sticks,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Frame Kill Fridays,SF6,MK1,UMvC3,GGST,Tekken,DOA,,,,,,,,,,,,,,,,,,,,,,,2024.0118
3-2-1 Fight!,SF6,GGST,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0402
3-2-1 Jam Sessions,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0402
Flynns Gaming,SF6,MK1,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Newsflash FGC Weekly,SF6,Rivals,GBVSR,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Newsflash SSBM Weekly,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Newsflash SSBU Weekly,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Press Start: Game!,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,"source just says ""2D/3D fighters and platform fighters""",2024.0714
Fight Knight FGC Weekly,SF6,MK1,GGST,Tekken,SSBU,UMvC3,NASB2,GBVSR,KOFXV,Others,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Fight Knight SSBM Weekly,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Fight Knight SSBU Weekly,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
ROK Dojo,GGST,SF6,MK1,Tekken,GBVSR,KOFXV,DBFZ,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
Heart Container Cafe,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Clash at Coliseum,GGST,Tekken,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Juicy Monthly,SF6,MK1,GBVSR,UNI,Tekken,GGST,SSBM,SSBU,Others,,,,,,,,,,,,,,,,,,,,2024.0118
Retro Revival,SSF2T,VSav,CvS2,SF6,GGST,KOFXV,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Downtown Throwdown,SSBU,Remix,Tekken,SF6,GBVSR,GGXrd,UNI,UMvC3,Various,,,,,,,,,,,,,,,,,,,,2024.0621
Gamers on the Edge,GBVSR,MK1,Tekken,MBTL,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Tampa Gaming Dojo,SF6,MK1,GGST,DBFZ,GBVSR,Tekken,Retro,,,,,,,,,,,,,,,,,,,,,,2024.0118
HDGG Bi-Weekly,SF6,SSBU,MK1,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fighting Game Club at USF,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,Other games are decided by poll,2024.0118
Neon Dreams Bi-Weekly 1,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Neon Dreams Bi-Weekly 2,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Neon Dreams Monthly 1,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Neon Dreams Monthly 2,SC2,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Neon Dreams Monthly 3,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
4o4 Esports SSBU Monthly,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
4o4 Esports SSBU Weekly,SSBU,NASB2,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
4o4 Esports Weeklies,SF6,GGST,GBVSR,UNI,MBTL,DBFZ,GGXrd,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
 +2 On Block,SF6,KOFXV,3S,SamSho,GGST,MK1,Tekken,UNI,UMvc3,,,,,,,,,,,,,,,,,,,,2024.0118
CSRA FGC,SSBU,GGST,SF6,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,Source here,2024.0211
Zone Breakers,GGST,GBVSR,UNI,SF6,Tekken,SSBU,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Reboot Monthly,SSBU,SF6,MK1,Tekken,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Reboot Weekly,SSBU,SF6,MK1,Tekken,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Coastal Conquerors,Tekken,GBVSR,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Big Island Battle Rave,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Street Fighter Tournament,SF6,GBVSR,UNI,,,,,,,,,,,,,,,,,,,,,,,,,Games rotate each week,2024.0118
Boise Tea Party,SF6,MK1,UNI,Others,,,,,,,,,,,,,,,,,,,,,,,,Last Tuesday,2024.0118
SpudSportKumite,Tekken,UNI,Others,,,,,,,,,,,,,,,,,,,,,,,,,Last Saturday,2024.0118
Spacebar Fights,SF6,MK1,UNI,Others,,,,,,,,,,,,,,,,,,,,,,,,1st Tuesday,2024.0118
Forgotten Breaks,SF6,MK1,UNI,Others,,,,,,,,,,,,,,,,,,,,,,,,Contact for address; 2nd or 3rd Saturday,2024.0118
Tripoint Smash ft FGC,SSBU,SSBM,P+,Rivals,NASB2,SF6,UNI,GBVSR,BBCF,Others,,,,,,,,,,,,,,,,,,,2024.0118
FGC Meetups,SF6,GBVSR,GGST,Tekken,MK1,KOFXV,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Logan Arcade,3S,,,,,,,,,,,,,,,,,,,,,,,,,,,"3rd Sunday, 4pm",2024.0118
Logan Arcade Meetups,3S,VSav,SSF2T,MvC2,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Chicago Punish,SSF2T,MvC2,VSav,Retro,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Chicago Punish,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Scrim Center Battles FGC,SF6,MK1,Others,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Scrim Center Battles SSBU,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Street Fighter Saturdays,SSF2T,3S,,,,,,,,,,,,,,,,,,,,,,,,,,"Last Saturday, 7pm",2024.0118
Fargo Fight Night,Tekken,SSBU,GGXrd,SF6,,,,,,,,,,,,,,,,,,,,,,,,,2024.0714
Rockford Rumble,Tekken,GGST,SF6,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,2024.0714
Urbana-Champaign Kids in the Hall,Retro,SF6,Tekken,GGXrd,SamSho,,,,,,,,,,,,,,,,,,,,,,,Contact for address,2024.0118
219 Smashdown,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
219 Throwdown,SF6,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fight Club,SF6,Tekken,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0215
Salty Sunday,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0215
Des Moines Training Ground,SF6,Tekken,GGST,MK1,Mystery,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Top City Fight Night,SF6,GGST,Tekken,GBVSR,KOFXV,UNI,MK1,BBCF,MBTL,Others,,,,,,,,,,,,,,,,,,Last Saturday of the month,2024.0204
Crossover ICT,SSBM,SF6,Tekken,KOFXV,GGXrd,GBVSR,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fight Night at Velocity,SSBU,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MashStick,NASB2,SF6,SSBU,GGST,Tekken,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
BSG Fighters,Tekken,SF6,MK1,GGST,UNI,DBFZ,,,,,,,,,,,,,,,,,,,,,,,2024.0118
F*ck Around 'N Flash Kick,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,source,2024.0118
Esports Lounge,GBVSR,NASB2,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Late Night Special Moves,SF6,MK1,GGST,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Monthly Godlike,SF6,MK1,GGST,Tekken,,,,,,,,,,,,,,,,,,,,,,,,3rd Saturday,2024.0118
Ryu in the Bayou,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Block String,Tekken,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0204
Wonderfly Weekly,SSBU,P+,Rivals,Tekken,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0204
Bread and Butter,SF6,GGST,MK1,Tekken,KOFXV,GBVSR,,,,,,,,,,,,,,,,,,,,,,,2024.0118
FGC @ Xanadu,GBVSR,SF6,BBCF,CvS2,GGST,KOFXV,MK1,Tekken,UNI,Others,,,,,,,,,,,,,,,,,,,2024.0118
Melee @ Xanadu,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Ultimate @ Xanadu,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Xanadu Homecoming,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Xanadu Legends,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Mega Drive,SSBU,SSBM,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
GO ALL OUT!,SF6,GGST,Tekken,GBVSR,Mystery,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Boston Blue Beat Monthly,GBVSR,GGST,BBCF,MBTL,GGXrd,KOFXV,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Friday Night Fights,GGST,GBVSR,SF6,MK1,Tekken,BBCF,KOFXV,CvS2,Others,,,,,,,,,,,,,,,,,,,,2024.0118
Game Underground,SF6,Tekken,GGST,KOFXV,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Block Party,GBVSR,SF6,GGST,Tekken,UNI,,,,,,,,,,,,,,,,,,,,,,,3v3 crew battle,2024.0118
Sunday Night Slugfest,GBVSR,SF6,GGST,Tekken,UNI,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Button Club,SF6,Tekken,GGST,Retro,,,,,,,,,,,,,,,,,,,,,,,,Retro games rotate; starts at 6pm,2024.0727
Mid-Cape Mixup,SF6,GGST,GBVSR,KOFXV,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Mid-Cape Mixup,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Rough House,SF6,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Frame Advantage,UNI,DBFZ,GGST,MK1,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Neutral Ground Weekly,GGXrd,MK1,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Grand Rapids Weekly Casuals,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Kalamazoo Hyper Drive Heat,MK1,UNI,DBFZ,GBVSR,GGST,SF6,KOF13,Mystery,Others,,,,,,,,,,,,,,,,,,,,2024.0118
Odyssey Games Weekly,DBFZ,SF6,GBVSR,Mystery,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Evolution Games FGC Casuals,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MSU FGC Weekly Casuals,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
UMD Smash Bros Club,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0211
RunTheMix,GBVSR,GGST,Tekken,SF6,MBTL,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Stop Your Friendlies!,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The Good Fight,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Corinth Gaming Center,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,source,2024.0118
Top in the Shop,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,Starts at 7pm CT,2024.0118
Magic Pixel Runback,Skullgirls,SC6,UNI,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Magic Pixel Weekly,GBVSR,TFH,SF6,MBTL,GGST,UNI,VSav,BBCF,Others,,,,,,,,,,,,,,,,,,,,2024.0118
Localhost St Louis FGC,GGST,GGXrd,SF6,GBVSR,UNI,BBCF,MBTL,Tekken,Others,,,,,,,,,,,,,,,,,,,,2024.0118
Localhost St Louis SSBU,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Mystic,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Dino Rush,SF6,GBVSR,GGXrd,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
FGC in Omaha NE,SF6,UNI,Tekken,GBVSR,GGST,GGXrd,GGXXACR,MBTL,MBAACC,Others,,,,,,,,,,,,,,,,,,Currently on break,2024.0118
Knockdown!,SF6,GBVSR,MK1,Tekken,GGST,MvC2,KOFXV,KI,SSBM,SSBU,,,,,,,,,,,,,,,,,,,2024.0118
Biggest Little Fight Club,GGST,GBVSR,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Tokens Takedowns,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Wakeup Super Wednesday,SF6,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Iron Grid,GGST,SF6,MK1,NASB2,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Master Instinct,SF6,Tekken,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MKNJ Monthly,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MKNJ Weeklies,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
X-Impact,SSBU,Rivals,GGST,SF6,GBVSR,Tekken,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Saikyo Summit,SSBU,SF6,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
FGC Casuals,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Sunday Night Fights Casuals,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fight For Your Life!,GGST,SSBM,SSBU,SF6,P+,GBVSR,MK1,,,,,,,,,,,,,,,,,,,,,2nd & 4th Saturday,2024.0118
Barfights,UNI,Tekken,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Battle for the Breaker Box Brackets,SF6,Tekken,GGST,KOFXV,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Battle for the Breaker Box Casuals,SF6,Tekken,GGST,KOFXV,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
CR Clash,SSBM,SSB64,Remix,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Immortal Fight,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
BFGC Weekly,SF6,GGST,GBVSR,Tekken,GGXrd,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Mid Hudson Mayhem,GBVSR,SF6,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Burst Collectors Smash Weekly,SSBU,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Burst Collectors Weekly,UMvC3,GGST,SF6,KOFXV,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Lunatic Perilune,MBTL,KOFXV,MBAACC,GGXrd,UNI,GGXXACR,P4AU,DFCI,Others,,,,,,,,,,,,,,,,,,,,2024.0118
NYC Tekken,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
WASD Gaming,UNI,GBVSR,SF6,GGST,MBTL,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
BrookLAN Beatdowns,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd Thursday,2024.0118
BrookLAN Brawls,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Brooklyn Games,MvC2,SFA2,SSF2T,UMvC3,SF6,Retro,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Red Parry NYC,3S,Retro,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Red Parry NYC,3S,Retro,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
NLBC,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
TSB Monthly,GGST,GGXrd,GGXXACR,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
VSav / Alpha 2 Monthlies,VSav,SFA2,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Monday Night Strive,GGST,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Round Pour,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
ROC City Run Back,MK1,GGXrd,GBVSR,UNI,BBCF,Tekken,SSBU,KOFXV,DBFZ,Others,,,,,,,,,,,,,,,,,,,2024.0118
Attack From Three Lives,SF6,GBVSR,Tekken,SSBM,SSBU,MK1,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Iron Orange Forge,SF6,GBVSR,Tekken,SSBM,SSBU,MK1,,,,,,,,,,,,,,,,,,,,,,2nd Saturday,2024.0118
LastLevel,GGST,GGXXACR,MK1,BBCF,Tekken,VSav,SF6,GBVSR,UNI,Others,,,,,,,,,,,,,,,,,,,2024.0118
LastLevel Practice Mode,GGST,GGXXACR,MK1,BBCF,Tekken,VSav,SF6,GBVSR,UNI,Others,,,,,,,,,,,,,,,,,,,2024.0118
Quest for the Crown,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,Only during the semester,2024.0118
Greenville's Battle in SouthTown,SF6,GGST,GBVSR,MK1,,,,,,,,,,,,,,,,,,,,,,,,2v2 focus events based off a themed game,2024.0118
Fighting Dojo,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,"On break, venue is moving to new location",2024.0118
RDU Tekken,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,"On break, venue is moving to new location",2024.0118
Tournament of Thrones,GGST,3S,DBFZ,SF6,SFA2,GBVSR,MK1,KI,Others,,,,,,,,,,,,,,,,,,,,2024.0118
Hidden Block Games,Tekken,GBVSR,DBFZ,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Warring Triad,GGST,SF6,DBFZ,MBTL,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,2024.0621
10 Frame Fridays,MK1,GGST,Tekken,SF6,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Arcade Legacy Smash Weekly,SSBU,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,"Games alternate on a weekly basis, calendar here",2024.0118
Arcade Legacy Weeklies,SF6,GGST,Tekken,VSav,KOFXV,MK1,UMvC3,SC6,Others,,,,,,,,,,,,,,,,,,,"Games alternate on a weekly basis, calendar here",2024.0118
"Yeah, I Gotcha Locals",GGST,GGXrd,GGXXACR,UMvC3,BBCF,SF6,Anime Etc,,,,,,,,,,,,,,,,,,,,,,2024.0211
Buckeye Battles,GBVSR,MK1,KOFXV,SF6,DBFZ,SSF2T,UNI,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
Donatos Fight Night Gray,SSBU,SC6,SC6,SC2,UMvC3,KOFXV,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Donatos Fight Night Scarlet,UNI,DBFZ,GBVSR,SF6,MK1,Tekken,Others,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
Tuesday Trials,UNI,GBVSR,SF6,SSBU,P4AU,GGST,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Level One Fight Night,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Vyral Compound,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Limelight,SSBU,SSBM,MK1,UMvC3,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Something Sweet,GBVSR,UNI,MK1,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Guard Break,GGST,Tekken,SF6,SSBU,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Rock the Dragon,SF6,GGST,GGXrd,Tekken,DBFZ,SC6,GBVSR,MK1,KOFXV,MBTL,,,,,,,,,,,,,,,,,,"Active Discord server is ""Rock The Dragon"" but no perm inv link",2024.0118
Rock the Dragon Monthlies,SF6,GGST,GGXrd,Tekken,DBFZ,SC6,GBVSR,MK1,KOFXV,MBTL,,,,,,,,,,,,,,,,,,"Active Discord server is ""Rock The Dragon"" but no perm inv link",2024.0118
Tapout at the Taproom,SF6,GGST,VF5,UNI,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Cooped Up,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Adam's Smash Series,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Cardboard Diamonds,GGXrd,UNI,GGXXACR,P4AU,BBCF,VF5,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Faustian Fridays,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Epic Gaming Weeklies,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Portland Punish,SF6,GGST,GBVSR,VSav,GGXrd,UNI,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Battle Lounge PDX,Tekken,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fight Your Rival,SF6,MK1,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0402
Rose City Rushdown,Tekken,SF6,GGST,Others,Retro,,,,,,,,,,,,,,,,,,,,,,,See Discord for venue address,2024.0610
Go For Broke,UNI,GBVSR,GGST,MK1,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The Gulag,Tekken,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Drexel FGC,GGST,GBVSR,UNI,MBTL,Tekken,GGXrd,KOFXV,DBFZ,BBCF,Others,,,,,,,,,,,,,,,,,,"Games are different each time, check calendar here",2024.0118
King of Shadows,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The Streets,Tekken,GGST,SF6,MK1,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Vermilion Series,Tekken,GGST,SF6,MK1,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
SRU FGC Biweeklies,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
CMUKen Locals,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Pittsburgh FGC Biweeklies,SF6,GBVSR,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
More Than Friendlies,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The Lockdown,GGST,SF6,DBFZ,3S,Retro,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Gayas Cradle,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,source,2024.0118
Electric City Showdown,SF6,Tekken,UNI,,,,,,,,,,,,,,,,,,,,,,,,,source,2024.0119
Side Deck Gaming,SF6,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Grind Haus,SF6,Tekken,UNI,,,,,,,,,,,,,,,,,,,,,,,,,source,2024.0119
Masher's Paradise,Tekken,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Weekly Worldfire Fighters,Tekken,SF6,GGST,MK1,SC6,,,,,,,,,,,,,,,,,,,,,,,"Game list rotates for 3rd game between GGST, MK1, SC6",2024.0118
Downtown Brawl,SF6,MK1,SSBU,Tekken,,,,,,,,,,,,,,,,,,,,,,,,Currently on break,2024.0118
Sioux Falls Weeklies,SF6,GGXrd,GBVSR,UNI,GGST,,,,,,,,,,,,,,,,,,,,,,,,2024.0610
236 Mafia Monthlies,SF6,UNI,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Token Throwdown,GBVSR,Tekken,GGST,MK1,SF6,UNI,3S,Others,,,,,,,,,,,,,,,,,,,,"Games rotate, check Twitter",2024.0118
Game Galaxy Arcade Anime,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Game Galaxy Arcade Fight Night,SF6,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here; games rotate each week,2024.0118
Austin Air Assault,GBVSR,BBCF,GGST,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Saucy Saturday,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,Alternates between Tekken and SF each week,2024.0610
SETX FGC,SSBU,SF6,SSBM,P+,MK1,SamSho,Retro,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
Corpus Christi FGC,SF6,GBVSR,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
ArtCade,3S,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
